tier,code,meta_name,category,language,variables,sample_values,buttons,ghl_merge_mapping,meta_status,body
1,WA-01,saludo_inicial_wa,MARKETING,es_CO,{{1}}=nombre,{{1}}=Juan,"QuickReply: Ver tesoros | Hablar con un Embajador","{{1}}={{contact.first_name}}",draft,"Hola {{1}}, te damos la bienvenida a Tierra Mädre 💚 Somos una casa hermética de esmeraldas colombianas con ADN de Paz y acceso directo a precios de Mina.\n\nCuéntanos qué te llama hoy: ¿una pieza para ti, un regalo, o invertir en un tesoro que perdura?\n\nTierra Mädre · ADN de Paz. Alta frecuencia de origen."
1,CK-01,pieza_lista_pago_wa,UTILITY,es_CO,{{1}}=nombre | {{2}}=pieza | {{3}}=link_pago,"{{1}}=Juan | {{2}}=Esmeralda Sofía 1.34 ct | {{3}}=https://mpago.la/abc123",none,"{{1}}={{contact.first_name}} | {{2}}=nombre_pieza | {{3}}=mp_checkout_url",draft,"Hola {{1}}, tu tesoro *{{2}}* quedó reservado para ti 🌿 Para que sea tuyo, completa tu adquisición de forma segura aquí:\n{{3}}\n\nSi prefieres, tu Embajador te acompaña paso a paso. Aquí estamos."
1,CK-03,confirmacion_pago_wa,UTILITY,es_CO,{{1}}=nombre | {{2}}=pieza | {{3}}=referencia,"{{1}}=Juan | {{2}}=Esmeralda Sofía 1.34 ct | {{3}}=VO-0001",none,"{{1}}={{contact.first_name}} | {{2}}=nombre_pieza | {{3}}=saleId",draft,"¡Gracias, {{1}}! Confirmamos el pago de tu tesoro *{{2}}* ✨ Referencia: {{3}}.\n\nAhora lo preparamos con la reverencia que merece. Te escribiremos en cada paso del envío.\n\nTierra Mädre · ADN de Paz. Alta frecuencia de origen."
1,ES-01,escalacion_asesor_wa,UTILITY,es_CO,{{1}}=nombre,{{1}}=Juan,none,"{{1}}={{contact.first_name}}",draft,"Hola {{1}}, con gusto 🕊️ Un Embajador de Tierra Mädre tomará tu conversación de forma personal para acompañarte mejor.\n\nEn un momento te escribe por aquí. Gracias por tu paciencia."
1,PV-02,postventa_entrega_wa,UTILITY,es_CO,{{1}}=nombre | {{2}}=pieza,"{{1}}=Juan | {{2}}=Esmeralda Sofía 1.34 ct",none,"{{1}}={{contact.first_name}} | {{2}}=nombre_pieza",draft,"Hola {{1}}, tu tesoro *{{2}}* ya está en tus manos 💚 Que su alta frecuencia de origen te acompañe.\n\nSi necesitas algo para custodiarlo mejor, escríbenos. Estamos contigo más allá de la entrega.\n\nTierra Mädre · ADN de Paz."
1,PV-03,postventa_testimonio_wa,MARKETING,es_CO,{{1}}=nombre | {{2}}=pieza,"{{1}}=Juan | {{2}}=Esmeralda Sofía 1.34 ct","URL: Compartir mi experiencia -> {{custom_values.web_url}}","{{1}}={{contact.first_name}} | {{2}}=nombre_pieza",draft,"Hola {{1}}, han pasado unos días desde que *{{2}}* llegó a ti 🌿 Nos encantaría saber cómo ha resonado contigo.\n\n¿Nos compartes tu experiencia? Tu voz ayuda a otro a reconocer su llamado.\n\nTierra Mädre · ADN de Paz."
2,CK-02,pieza_pendiente_wa,MARKETING,es_CO,{{1}}=nombre | {{2}}=pieza | {{3}}=link_pago,"{{1}}=Juan | {{2}}=Esmeralda Sofía 1.34 ct | {{3}}=https://mpago.la/abc123",none,"{{1}}={{contact.first_name}} | {{2}}=nombre_pieza | {{3}}=mp_checkout_url",draft,"Hola {{1}}, tu tesoro *{{2}}* sigue esperándote 🌿 Aún puedes completarlo de forma segura aquí:\n{{3}}\n\nY si prefieres, tu Embajador te acompaña en cada paso."
2,EM-01,embajador_nuevo_invitado_wa,UTILITY,es_CO,{{1}}=embajador | {{2}}=invitado | {{3}}=canal | {{4}}=link_conversacion,"{{1}}=Felipe | {{2}}=Juan González | {{3}}=WhatsApp | {{4}}=https://app.progresy.ai/...",none,"{{1}}=nombre_embajador | {{2}}={{contact.full_name}} | {{3}}={{contact.canal_origen}} | {{4}}=conversation_url",draft,"Hola {{1}}, tienes un nuevo invitado en Tierra Mädre: {{2}}, que escribió por {{3}}.\n\nTienes 5 minutos para saludarle antes de que María continúe. Tu comisión queda protegida igual.\n\nAbre la conversación aquí: {{4}}\n\nTierra Mädre · Estamos contigo."
2,EM-02,embajador_comision_wa,UTILITY,es_CO,{{1}}=embajador | {{2}}=invitado | {{3}}=pieza | {{4}}=comision,"{{1}}=Felipe | {{2}}=Juan González | {{3}}=Esmeralda Sofía 1.34 ct | {{4}}=$180.000 COP",none,"{{1}}=nombre_embajador | {{2}}={{contact.full_name}} | {{3}}=nombre_pieza | {{4}}=monto_comision",draft,"¡Felicitaciones, {{1}}! Tu invitado {{2}} eligió su tesoro *{{3}}* 💚\n\nComisión generada: {{4}}. Ya quedó registrada en tu panel.\n\nTierra Mädre · Gracias por tejer puentes."
2,EV-01,evento_presencial_wa,MARKETING,es_CO,{{1}}=nombre | {{2}}=lugar | {{3}}=fecha_hora,"{{1}}=Juan | {{2}}=Bogotá, oficina Tierra Mädre | {{3}}=sábado 12 jul, 4:00 p. m.","URL: Reservar mi lugar -> link_evento","{{1}}={{contact.first_name}} | {{2}}=custom_value_evento_lugar | {{3}}=custom_value_evento_fecha",draft,"Hola {{1}}, te abrimos las puertas a un encuentro íntimo de Tierra Mädre 🕊️\n📍 {{2}}\n🗓️ {{3}}\n\nCupos limitados, entre quienes sienten el llamado. ¿Te reservamos un lugar?"
2,EV-02,evento_virtual_wa,MARKETING,es_CO,{{1}}=nombre | {{2}}=fecha_hora,"{{1}}=Juan | {{2}}=jueves 10 jul, 7:00 p. m.","URL: Unirme al encuentro -> link_zoom","{{1}}={{contact.first_name}} | {{2}}=custom_value_evento_fecha",draft,"Hola {{1}}, te invitamos a un encuentro virtual de Tierra Mädre 🌎\n🗓️ {{2}} · 💻 En línea\n\nConoce nuestros tesoros y su historia desde donde estés. ¿Confirmas tu lugar?"
2,PV-01,postventa_cuidados_wa,UTILITY,es_CO,{{1}}=nombre | {{2}}=pieza,"{{1}}=Juan | {{2}}=Esmeralda Sofía 1.34 ct",none,"{{1}}={{contact.first_name}} | {{2}}=nombre_pieza",draft,"Hola {{1}}, gracias por custodiar *{{2}}* 💎 Mientras llega a ti, un consejo: la esmeralda ama el agua tibia y el paño suave, nunca químicos.\n\nTe avisamos apenas despachemos tu tesoro."
2,EM-03,embajador_seguimiento_wa,UTILITY,es_CO,{{1}}=embajador | {{2}}=invitado,"{{1}}=Felipe | {{2}}=Juan González",none,"{{1}}=nombre_embajador | {{2}}={{contact.full_name}}",draft,"Hola {{1}}, tu invitado {{2}} sigue en conversación y aún no cierra su tesoro.\n\nUn mensaje tuyo puede marcar la diferencia. ¿Le escribes hoy?"
2,R-03,reengagement_frio_wa,MARKETING,es_CO,{{1}}=nombre,{{1}}=Juan,"QuickReply: Ver lo nuevo en la bóveda","{{1}}={{contact.first_name}}",draft,"Hola {{1}}, hace un tiempo un tesoro de Tierra Mädre llamó tu atención 🌿 La Tierra sigue guardando piezas únicas que quizás resuenen contigo hoy.\n\n¿Quieres que te muestre lo nuevo en la bóveda?"
2,R-04,reengagement_nurturing_wa,MARKETING,es_CO,{{1}}=nombre,{{1}}=Juan,none,"{{1}}={{contact.first_name}}",draft,"Hola {{1}}, no queremos perderte de vista 💚 Cada esmeralda tiene su momento y su persona.\n\nCuando sientas el llamado, aquí estaremos para entregarte el tesoro indicado.\n\nTierra Mädre · ADN de Paz. Alta frecuencia de origen."
1,CT-01,coleccion_disponible_wa,UTILITY,es,{{1}}=nombre | {{2}}=link_coleccion,"{{1}}=Juan | {{2}}=https://tierramadre.app/coleccion/abc123",none,"{{1}}={{contact.first_name}} | {{2}}=vitrina_link (custom_webhook.1.response.vitrina_link)",pending,"¡Hola {{1}}! 💚 Ya tengo piezas que encajan con lo que buscas. Míralas en tu colección personal: {{2}}. Toca ""Consultar por WhatsApp"" en la que más te guste y seguimos por aquí."
